LGA_CODE11,LGA_NAME11,STE_CODE11,STE_NAME11,AREA_SQKM
10050,Albury (C),1,New South Wales,305.930832286464
10110,Armidale Dumaresq (A),1,New South Wales,4230.83487789438
10150,Ashfield (A),1,New South Wales,8.28118815676365
10200,Auburn (C),1,New South Wales,32.4769187497579
10250,Ballina (A),1,New South Wales,484.716360572216
10300,Balranald (A),1,New South Wales,21693.1245406626
10350,Bankstown (C),1,New South Wales,76.8001275062703
10470,Bathurst Regional (A),1,New South Wales,3816.43200024507
10550,Bega Valley (A),1,New South Wales,6278.95552483533
10600,Bellingen (A),1,New South Wales,1600.37619082991
10650,Berrigan (A),1,New South Wales,2065.92697450749
10750,Blacktown (C),1,New South Wales,240.104983313581
10800,Bland (A),1,New South Wales,8557.70823378583
10850,Blayney (A),1,New South Wales,1524.8826183337
10900,Blue Mountains (C),1,New South Wales,1431.14518295598
10950,Bogan (A),1,New South Wales,14600.48341833
11000,Bombala (A),1,New South Wales,3946.57071287287
11050,Boorowa (A),1,New South Wales,2577.97466125166
11100,Botany Bay (C),1,New South Wales,21.6867507802439
11150,Bourke (A),1,New South Wales,41604.4527158499
11200,Brewarrina (A),1,New South Wales,19165.1815859135
11250,Broken Hill (C),1,New South Wales,170.294490017109
11300,Burwood (A),1,New South Wales,7.1281704410732
11350,Byron (A),1,New South Wales,565.847007825531
11400,Cabonne (A),1,New South Wales,6023.92901273478
11450,Camden (A),1,New South Wales,201.263342639675
11500,Campbelltown (C),1,New South Wales,312.139842357849
11520,Canada Bay (A),1,New South Wales,19.8933738954438
11550,Canterbury (C),1,New South Wales,33.563875912498
11600,Carrathool (A),1,New South Wales,18932.5012400806
11700,Central Darling (A),1,New South Wales,53493.8060548995
11720,Cessnock (C),1,New South Wales,1965.40669855706
11730,Clarence Valley (A),1,New South Wales,10428.7734329069
11750,Cobar (A),1,New South Wales,45571.0141018892
11800,Coffs Harbour (C),1,New South Wales,1173.73814849847
11860,Conargo (A),1,New South Wales,8737.94069330252
12000,Coolamon (A),1,New South Wales,2430.92865323676
12050,Cooma-Monaro (A),1,New South Wales,5184.54329433034
12150,Coonamble (A),1,New South Wales,9915.85083862541
12200,Cootamundra (A),1,New South Wales,1523.75245790713
12300,Corowa Shire (A),1,New South Wales,2329.25199976444
12350,Cowra (A),1,New South Wales,2808.67333883411
12500,Deniliquin (A),1,New South Wales,143.187614564453
12600,Dubbo (C),1,New South Wales,3425.68081236274
12700,Dungog (A),1,New South Wales,2250.01733562674
12750,Eurobodalla (A),1,New South Wales,3428.17088805694
12850,Fairfield (C),1,New South Wales,101.521929522553
12900,Forbes (A),1,New South Wales,4718.07434032337
12950,Gilgandra (A),1,New South Wales,4832.00825344863
13010,Glen Innes Severn (A),1,New South Wales,5480.35851748721
13050,Gloucester (A),1,New South Wales,2950.1678527637
13100,Gosford (C),1,New South Wales,941.059120808931
13310,Goulburn Mulwaree (A),1,New South Wales,3220.00790281321
13320,Great Lakes (A),1,New South Wales,3373.32789127913
13340,Greater Hume Shire (A),1,New South Wales,5749.28366665308
13380,Greater Taree (C),1,New South Wales,3729.04830457744
13450,Griffith (C),1,New South Wales,1639.94137638562
13500,Gundagai (A),1,New South Wales,2457.13684792799
13550,Gunnedah (A),1,New South Wales,4987.40909580263
13650,Guyra (A),1,New South Wales,4389.54799115317
13660,Gwydir (A),1,New South Wales,9262.36182058946
13700,Harden (A),1,New South Wales,1868.24566493255
13800,Hawkesbury (C),1,New South Wales,2774.64090958313
13850,Hay (A),1,New South Wales,11326.0164879881
13950,Holroyd (C),1,New South Wales,40.1813838646283
14000,Hornsby (A),1,New South Wales,462.107371023103
14100,Hunters Hill (A),1,New South Wales,5.71706062243989
14150,Hurstville (C),1,New South Wales,22.7241475685098
14200,Inverell (A),1,New South Wales,8594.94019860683
14250,Jerilderie (A),1,New South Wales,3373.05424746147
14300,Junee (A),1,New South Wales,2029.99747292084
14350,Kempsey (A),1,New South Wales,3375.67000113933
14400,Kiama (A),1,New South Wales,257.742670956145
14450,Kogarah (C),1,New South Wales,15.547898827679
14500,Ku-ring-gai (A),1,New South Wales,85.3976383748179
14550,Kyogle (A),1,New South Wales,3584.01925051336
14600,Lachlan (A),1,New South Wales,14965.40927417
14650,Lake Macquarie (C),1,New South Wales,647.98679741003
14700,Lane Cove (A),1,New South Wales,10.4795472376192
14750,Leeton (A),1,New South Wales,1166.94726130099
14800,Leichhardt (A),1,New South Wales,10.5498476998945
14850,Lismore (C),1,New South Wales,1287.7915933703
14870,Lithgow (C),1,New South Wales,4511.84682442614
14900,Liverpool (C),1,New South Wales,305.431139380298
14920,Liverpool Plains (A),1,New South Wales,5082.31395989867
14950,Lockhart (A),1,New South Wales,2895.85167363133
15050,Maitland (C),1,New South Wales,391.517025892881
15150,Manly (A),1,New South Wales,14.3551515172896
15200,Marrickville (A),1,New South Wales,16.5196305650204
15270,Mid-Western Regional (A),1,New South Wales,8752.78529062528
15300,Moree Plains (A),1,New South Wales,17905.9502338758
15350,Mosman (A),1,New South Wales,8.65099419024531
15500,Murray (A),1,New South Wales,4344.45295859306
15550,Murrumbidgee (A),1,New South Wales,3506.68470750953
15650,Muswellbrook (A),1,New South Wales,3404.9942557492
15700,Nambucca (A),1,New South Wales,1491.34933340501
15750,Narrabri (A),1,New South Wales,13014.0718192164
15800,Narrandera (A),1,New South Wales,4116.23586783976
15850,Narromine (A),1,New South Wales,5260.38743547554
15900,Newcastle (C),1,New South Wales,186.772527471849
15950,North Sydney (A),1,New South Wales,10.4725720845294
16100,Oberon (A),1,New South Wales,3626.8830971844
16150,Orange (C),1,New South Wales,283.937751547091
16180,Palerang (A),1,New South Wales,5146.79242904621
16200,Parkes (A),1,New South Wales,5954.91943540331
16250,Parramatta (C),1,New South Wales,61.356489387333
16350,Penrith (C),1,New South Wales,404.631442806055
16370,Pittwater (A),1,New South Wales,90.3284194792876
16380,Port Macquarie-Hastings (A),1,New South Wales,3683.01531163863
16400,Port Stephens (A),1,New South Wales,858.473191340241
16470,Queanbeyan (C),1,New South Wales,172.361303808604
16550,Randwick (C),1,New South Wales,36.3307008539196
16610,Richmond Valley (A),1,New South Wales,3047.38740662012
16650,Rockdale (C),1,New South Wales,28.2192817015308
16700,Ryde (C),1,New South Wales,40.4729329221091
16900,Shellharbour (C),1,New South Wales,147.360151870196
16950,Shoalhaven (C),1,New South Wales,4567.0225825327
17000,Singleton (A),1,New South Wales,4892.83014073057
17050,Snowy River (A),1,New South Wales,6030.37955482917
17100,Strathfield (A),1,New South Wales,13.8996278170965
