HHID,HHSIZE,VISITORS,HHSTRUCTURE,DWELLTYPE,OWNDWELL,YEARSLIVED,MONTHSLIVED,ADULTBIKES,KIDSBIKES,TOTALBIKES,ADULTBIKESUSED,KIDSBIKESUSED,TOTALBIKESUSED,CARS,FOURWDS,UTES,VANS,TRUCKS,MBIKES,OTHERVEHS,TOTALVEHS,HOMESLA,HOMELGA,ADHHWGT,WDHHWGT,WEHHWGT,HomeRegion,StationProx,Day_Type,SURVEY_PERIOD,HHINC_quintile
Y09H010104,3,0,3,1,2,23,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205057351,27350,36.8,68.9,0,1,1,1,2,4
Y09H010106,1,0,1,2,2,10,8,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,101.7,0,293.9,1,2,2,2,1
Y09H010110,2,0,2,2,2,4,5,2,1,3,0,0,0,2,0,0,0,0,0,0,2,205057351,27350,86.6,131.3,0,1,2,1,2,4
Y09H010113,2,0,2,1,1,5,2,2,0,2,1,0,1,1,1,0,0,0,0,0,2,205057351,27350,52.1,0,171.7,1,1,2,2,5
Y09H010115,4,0,5,2,3,4,5,3,0,3,2,0,2,3,0,0,0,0,0,0,3,205057351,27350,167.8,241.8,0,1,1,1,2,5
Y09H010120,2,0,2,1,1,32,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,52.1,0,171.7,1,1,2,2,4
Y09H010122,1,0,1,2,1,26,10,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,109.1,134.9,0,1,2,1,2,3
Y09H010123,2,0,2,3,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,2,205057351,27350,93.3,141.4,0,1,2,1,2,5
Y09H010124,3,0,5,3,3,1,4,3,0,3,2,0,2,3,0,0,0,0,0,0,3,205057351,27350,160,230.7,0,1,2,1,2,5
Y09H010126,2,0,2,3,3,10,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,205057351,27350,142.5,205.4,0,1,2,1,2,5
