LGA Profiler
Source: 2010/11 Household Travel Survey
Bureau of Transport Statistics
,,Ashfield,Auburn,Bankstown,Blacktown,Botany Bay,Burwood,Camden,Campbelltown,Canada Bay,Canterbury,Fairfield,Holroyd,Hornsby,Hurstville,Kogarah,Ku-ring-gai,Lane Cove,Leichhardt,Liverpool,Manly,Marrickville,Mosman,North Sydney,Parramatta,Penrith,Pittwater,Randwick,Rockdale,Ryde,Strathfield,Sutherland Shire,Sydney,Warringah,Willoughby,Waverley,Woollahra
Population,Persons,41000,76000,187000,305000,40000,33000,56000,152000,78000,145000,195000,101000,161000,80000,59000,112000,33000,54000,183000,41000,77000,29000,64000,168000,184000,59000,128000,102000,104000,36000,219000,175000,144000,69000,68000,55000
,No_of_households,17000,25000,63000,101000,16000,12000,19000,51000,31000,53000,61000,37000,57000,30000,22000,38000,13000,25000,59000,17000,34000,12000,34000,63000,64000,22000,54000,39000,41000,13000,81000,92000,55000,28000,31000,25000
,Average_household_size,2.4,3,2.9,3,2.6,2.8,3,3,2.5,2.7,3.2,2.7,2.8,2.7,2.7,2.9,2.4,2.2,3.1,2.4,2.3,2.3,1.9,2.7,2.9,2.7,2.4,2.6,2.5,2.8,2.7,1.9,2.6,2.5,2.2,2.2
Total travel,Trips_av_weekday,149000,292000,608000,1050000,149000,116000,206000,503000,322000,464000,594000,340000,618000,293000,217000,462000,137000,244000,596000,202000,292000,136000,276000,605000,689000,257000,539000,323000,390000,101000,921000,745000,556000,306000,305000,254000
,Trips_av_weekend_day,144000,231000,595000,891000,141000,99000,142000,390000,274000,450000,570000,273000,557000,304000,206000,370000,92000,257000,586000,141000,285000,102000,242000,475000,601000,141000,516000,318000,345000,146000,773000,787000,615000,247000,317000,240000
,Trips_per_person_weekday,3.6,3.9,3.3,3.4,3.7,3.6,3.7,3.3,4.1,3.2,3,3.4,3.8,3.7,3.7,4.1,4.2,4.5,3.3,4.9,3.8,4.7,4.3,3.6,3.7,4.3,4.2,3.2,3.7,2.8,4.2,4.3,3.9,4.4,4.5,4.6
,Trips_per_person_weekend,3.5,3.1,3.2,2.9,3.5,3,2.5,2.6,3.5,3.1,2.9,2.7,3.4,3.8,3.5,3.3,2.8,4.7,3.2,3.4,3.7,3.6,3.8,2.8,3.3,2.4,4,3.1,3.3,4,3.5,4.5,4.3,3.6,4.6,4.4
,Trips_per_household_weekday,8.7,11.6,9.6,10.4,9.5,9.8,11.1,9.8,10.3,8.8,9.7,9.2,10.9,9.8,10,12.1,10.3,9.7,10.1,11.7,8.6,10.9,8.2,9.6,10.8,11.8,9.9,8.2,9.4,7.9,11.3,8.1,10.1,11,9.8,10.1
,Trips_per_household_weekend,8.4,9.2,9.4,8.8,9.1,8.3,7.7,7.6,8.8,8.5,9.3,7.4,9.8,10.2,9.5,9.7,6.9,10.3,9.9,8.2,8.4,8.2,7.2,7.5,9.4,6.4,9.5,8.1,8.3,11.4,9.5,8.6,11.1,8.9,10.1,9.6
Purpose of travel (trips),Commute,25000,39000,93000,178000,22000,23000,30000,85000,47000,69000,113000,59000,92000,44000,38000,63000,18000,42000,88000,30000,61000,18000,55000,113000,105000,33000,81000,55000,75000,20000,127000,147000,79000,44000,41000,36000
