HHID,VEHID,VEHNO,VEHTYPE,VEHYEAR,PETROL,DIESEL,GAS,ELECTRIC,CYLINDERS,RUNNINGCOSTS,ADHHWGT,WDHHWGT,WEHHWGT
Y09H010104,Y09H010104V01,1,1,2006,1,2,2,2,4,1,36.8,68.9,0
Y09H010104,Y09H010104V02,2,1,2002,1,2,2,2,4,1,36.8,68.9,0
Y09H010106,Y09H010106V01,1,1,2006,1,2,2,2,4,1,101.7,0,293.9
Y09H010110,Y09H010110V01,1,1,2007,2,1,2,2,4,2,86.6,131.3,0
Y09H010110,Y09H010110V02,2,1,2002,1,2,2,2,4,1,86.6,131.3,0
Y09H010113,Y09H010113V01,1,1,1996,1,2,2,2,6,1,52.1,0,171.7
Y09H010113,Y09H010113V02,2,2,1997,1,2,2,2,4,1,52.1,0,171.7
Y09H010115,Y09H010115V01,1,1,2003,1,2,2,2,4,1,167.8,241.8,0
Y09H010115,Y09H010115V02,2,1,1995,1,2,2,2,4,1,167.8,241.8,0
Y09H010115,Y09H010115V03,3,1,1995,1,2,2,2,4,1,167.8,241.8,0
Y09H010120,Y09H010120V01,1,1,2000,1,2,2,2,4,1,52.1,0,171.7
Y09H010122,Y09H010122V01,1,1,2000,1,2,2,2,4,1,109.1,134.9,0
Y09H010123,Y09H010123V01,1,1,2006,1,2,2,2,4,2,93.3,141.4,0
Y09H010123,Y09H010123V02,2,1,2005,1,2,2,2,4,2,93.3,141.4,0
Y09H010124,Y09H010124V01,1,1,2005,1,2,2,2,4,1,160,230.7,0
Y09H010124,Y09H010124V02,2,1,2002,1,2,2,2,4,1,160,230.7,0
Y09H010124,Y09H010124V03,3,1,1991,1,2,2,2,4,1,160,230.7,0
Y09H010126,Y09H010126V01,1,1,2006,2,1,2,2,4,1,142.5,205.4,0
Y09H010137,Y09H010137V01,1,3,2005,1,2,2,2,8,1,172.4,248.5,0
Y09H010137,Y09H010137V02,2,1,2007,1,2,2,2,8,1,172.4,248.5,0
Y09H010137,Y09H010137V03,3,6,2009,1,2,2,2,4,1,172.4,248.5,0
Y09H010139,Y09H010139V01,1,1,2005,1,2,2,2,4,1,139.9,201.7,0
Y09H010139,Y09H010139V02,2,1,2005,1,2,2,2,4,1,139.9,201.7,0
Y09H010201,Y09H010201V01,1,1,1998,1,2,2,2,6,1,46.5,66.6,0
Y09H010206,Y09H010206V01,1,1,2002,1,2,2,2,4,1,52.1,0,171.7
Y09H010207,Y09H010207V01,1,2,2003,1,2,2,2,4,1,47.5,0,156.6
Y09H010209,Y09H010209V01,1,1,2007,1,2,2,2,4,1,112.2,138.6,0
Y09H010209,Y09H010209V02,2,1,2006,1,2,2,2,6,1,112.2,138.6,0
Y09H010212,Y09H010212V01,1,1,1998,1,2,2,2,4,1,92.7,114.6,0
Y09H010213,Y09H010213V01,1,1,1985,1,2,2,2,4,1,188,0,609.5
Y09H010214,Y09H010214V01,1,1,2005,1,2,2,2,4,1,45.9,0,123.3
Y09H010219,Y09H010219V01,1,2,2003,1,2,2,2,6,1,39.5,56.6,0
Y09H010222,Y09H010222V01,1,1,2003,1,2,2,2,4,1,109.1,134.9,0
Y09H010223,Y09H010223V01,1,2,2007,2,1,2,2,6,1,46.1,72.6,0
Y09H010223,Y09H010223V02,2,1,1998,1,2,2,2,4,1,46.1,72.6,0
Y09H010225,Y09H010225V01,1,1,2003,1,2,2,2,4,1,139.9,201.7,0
Y09H010226,Y09H010226V01,1,1,2004,1,2,2,2,4,1,92.7,114.6,0
Y09H010228,Y09H010228V01,1,1,2009,1,2,2,2,4,1,45,0,93.3
Y09H010228,Y09H010228V02,2,1,2001,1,2,2,2,4,1,45,0,93.3
Y09H010229,Y09H010229V01,1,1,2001,1,2,2,2,4,1,90.7,137.6,0
Y09H010229,Y09H010229V02,2,1,1990,1,2,2,2,4,1,90.7,137.6,0
Y09H010230,Y09H010230V01,1,1,2004,1,2,2,2,4,1,47.8,68.5,0
Y09H010232,Y09H010232V01,1,1,1969,1,2,2,2,6,1,37.4,58.9,0
Y09H010232,Y09H010232V02,2,1,2001,1,2,2,2,4,1,37.4,58.9,0
Y09H010234,Y09H010234V01,1,1,1995,1,2,2,2,6,1,188,0,609.5
Y09H010235,Y09H010235V01,1,1,2006,1,2,2,2,6,1,111.5,0,608.9
Y09H010235,Y09H010235V02,2,1,1990,1,2,2,2,4,1,111.5,0,608.9
Y09H010236,Y09H010236V01,1,1,1997,1,2,2,2,4,1,90.7,137.6,0
Y09H010238,Y09H010238V01,1,1,2005,1,2,2,2,6,1,160,230.7,0
Y09H010241,Y09H010241V01,1,1,2002,1,2,2,2,4,1,188,0,609.5
Y09H010241,Y09H010241V02,2,1,1992,1,2,2,2,4,1,188,0,609.5
Y09H010242,Y09H010242V01,1,1,2003,1,2,2,2,4,1,171.5,0,555.9
Y09H010302,Y09H010302V01,1,1,1960,1,2,2,2,6,1,86.5,143.7,0
Y09H010305,Y09H010305V01,1,1,2006,1,2,2,2,4,2,35.4,48.9,0
Y09H010305,Y09H010305V02,2,1,2005,1,2,2,2,4,1,35.4,48.9,0
Y09H010307,Y09H010307V01,1,1,1999,1,2,2,2,4,1,103.9,0,220
Y09H010308,Y09H010308V01,1,1,2003,1,2,2,2,4,1,109.9,151.9,0
Y09H010308,Y09H010308V02,2,1,2004,1,2,2,2,4,1,109.9,151.9,0
Y09H010310,Y09H010310V01,1,1,1998,1,2,2,2,4,1,84.1,124.2,0
Y09H010312,Y09H010312V01,1,1,1996,1,2,2,2,4,1,93.3,129,0
Y09H010313,Y09H010313V01,1,1,1998,1,2,2,2,4,1,123.2,0,445.8
Y09H010318,Y09H010318V01,1,1,1984,1,2,2,2,4,1,91.7,126.7,0
Y09H010320,Y09H010320V01,1,1,2002,1,2,2,2,6,1,46.7,0,169.5
Y09H010320,Y09H010320V02,2,1,1998,1,2,2,2,4,2,46.7,0,169.5
Y09H010322,Y09H010322V01,1,2,2007,2,1,2,2,6,1,159.1,244.2,0
Y09H010325,Y09H010325V01,1,1,2008,2,2,1,2,6,2,73.5,108.6,0
Y09H010325,Y09H010325V02,2,2,1994,1,2,2,2,6,1,73.5,108.6,0
Y09H010329,Y09H010329V01,1,1,1985,1,2,2,2,6,1,109.9,151.9,0
