lga,population,no_of_households,average_household_size,trips_av_weekday,trips_av_weekend,trips_per_person_weekday,trips_per_person_weekend,trips_per_household_weekday,trips_per_household_weekend,commute1,work_related_business1,education_child_care1,shopping,personal_business1,social_recreation1,serve_passenger1,other,vehicle_driver1,vehicle_passenger1,train1,bus1,walk_only1,other_modes1,commute2,work_related_business2,education_child_care2,shopping2,personal_business2,social_recreation2,serve_passenger2,other2,vehicle_driver2,vehicle_passenger2,train2,bus2,walk_only2,walk_linked5_2,other_modes2,commute3,work_related_business3,education_child_care3,shopping3,personal_business3,social_recreation3,serve_passenger3,other3,vehicle_driver3,vehicle_passenger3,train3,bus3,walk_only3,other_modes3,commute4,work_related_business4,education_child_care4,shopping4,personal_business4,social_recreation4,serve_passenger4,other4,vehicle_driver4,vehicle_passenger4,train4,bus4,walk_only4,walk_linked5_4,other_modes4,private_vehicles,vehicles_per_household,total_travel,total_travel_per_capita,av_trip_length,Vehicle_travel_(VKT),vkt_per_capita,av_work_trip_duration,av_non_work_trip_duration,av_trip_duration_all_purposes,daily_travel_time_per_capita
Ballarat (C),80000,34000,2.4,320418,272779,4.0,3.4,9.5,8.1,78000,38000,32000,71000,31000,90000,36000,52000,181000,84000,4000,8000,46000,7000,749000,481000,395000,477000,404000,1146000,260000,450000,1544000,921000,360000,86000,37000,467,33000,0.26,0.13,0.10,0.23,0.10,0.30,0.12,0.17,0.55,0.25,0.01,0.02,0.14,0.02,0.17,0.11,0.09,0.11,0.09,0.26,0.06,0.10,0.52,0.31,0.12,0.03,0.01,0.0002,0.01,500000,2.1,304000,13.2,1.0,38924,1.7,18,16,17,64
Banyule (C),110000,42000,2.6,432422,416319,3.9,3.8,10.2,9.8,102000,54000,42000,102000,38000,126000,57000,65000,248000,102000,18000,5000,86000,12000,1080000,733000,334000,535000,321000,1086000,366000,540000,2310000,823000,241000,20000,62000,496,57000,0.24,0.13,0.10,0.24,0.09,0.30,0.14,0.16,0.53,0.22,0.04,0.01,0.18,0.03,0.22,0.15,0.07,0.11,0.06,0.22,0.07,0.11,0.66,0.23,0.07,0.01,0.02,0.0001,0.02,701000,2.0,419000,41.4,1.0,16478,1.6,31,17,20,76
Baw Baw (S),24000,11000,2.1,126878,83760,5.3,3.5,11.4,7.5,49000,28000,22000,23000,22000,38000,3000,14000,53000,20000,1000,0,45000,1000,979000,489000,77000,22000,77000,148000,8000,59000,1040000,89000,44000,0,29000,0,0,0.42,0.24,0.19,0.20,0.19,0.32,0.03,0.12,0.44,0.16,0.01,0.00,0.38,0.00,0.53,0.26,0.04,0.01,0.04,0.08,0.00,0.03,0.87,0.07,0.04,0.00,0.02,0.0000,0.00,175000,2.4,117000,228.7,1.0,1630,3.2,19,9,13,65
Bayside (C),86000,34000,2.5,366477,350741,4.3,4.1,10.9,10.4,81000,37000,34000,72000,33000,105000,49000,71000,190000,82000,19000,5000,94000,17000,807000,459000,219000,380000,209000,644000,289000,367000,1408000,499000,232000,21000,69000,506,148000,0.23,0.10,0.10,0.20,0.09,0.30,0.14,0.20,0.47,0.20,0.05,0.01,0.23,0.04,0.24,0.14,0.06,0.11,0.06,0.19,0.09,0.11,0.59,0.21,0.10,0.01,0.03,0.0002,0.06,607000,2.1,353000,51.7,1.0,8945,1.3,30,16,19,77
Boroondara (C),152000,58000,2.6,587445,564183,3.9,3.7,10.1,9.7,146000,67000,57000,124000,53000,174000,62000,110000,289000,148000,35000,6000,181000,44000,1060000,633000,535000,577000,491000,1612000,372000,957000,2306000,1295000,371000,38000,118000,1119,303000,0.25,0.12,0.10,0.21,0.09,0.30,0.11,0.19,0.41,0.21,0.05,0.01,0.26,0.06,0.17,0.10,0.09,0.09,0.08,0.26,0.06,0.15,0.52,0.29,0.08,0.01,0.03,0.0003,0.07,936000,1.9,578000,49.2,1.0,13715,1.2,27,19,21,79
Brimbank (C),156000,57000,2.7,490743,397097,3.1,2.5,8.6,7.0,149000,59000,51000,97000,49000,114000,72000,62000,260000,139000,28000,16000,97000,11000,1748000,788000,494000,587000,462000,1005000,427000,558000,2359000,1166000,431000,103000,74000,1884,59000,0.32,0.13,0.11,0.21,0.10,0.25,0.15,0.13,0.47,0.25,0.05,0.03,0.18,0.02,0.29,0.13,0.08,0.10,0.08,0.17,0.07,0.09,0.56,0.28,0.10,0.02,0.02,0.0004,0.01,720000,2.0,465000,56.4,1.0,12209,1.5,30,18,21,62
Cardinia (S),60000,22000,2.8,201564,177924,3.4,3.0,9.3,8.2,52000,28000,15000,41000,14000,43000,26000,38000,110000,58000,4000,3000,30000,3000,956000,691000,243000,485000,236000,833000,254000,498000,2002000,846000,127000,45000,21000,58,13000,0.27,0.14,0.08,0.21,0.07,0.22,0.13,0.19,0.53,0.28,0.02,0.02,0.14,0.01,0.23,0.16,0.06,0.12,0.06,0.20,0.06,0.12,0.66,0.28,0.04,0.01,0.01,0.0000,0.00,343000,2.2,194000,26.4,1.0,21942,3.0,34,19,23,73
Casey (C),233000,77000,3.0,765797,608612,3.3,2.6,9.9,7.9,214000,86000,74000,148000,66000,199000,92000,95000,388000,228000,17000,23000,113000,10000,3154000,1566000,789000,1145000,750000,2396000,812000,889000,4969000,2250000,460000,136000,84000,827,69000,0.30,0.12,0.11,0.21,0.09,0.28,0.13,0.13,0.50,0.29,0.02,0.03,0.14,0.01,0.27,0.14,0.07,0.10,0.07,0.21,0.07,0.08,0.62,0.28,0.06,0.02,0.01,0.0001,0.01,1294000,2.1,704000,68.1,1.0,20478,2.0,32,18,21,63
Darebin (C),126000,51000,2.5,394307,462450,3.1,3.7,7.8,9.1,112000,50000,43000,95000,40000,117000,40000,74000,186000,101000,26000,15000,160000,49000,937000,511000,305000,467000,274000,773000,215000,391000,1235000,672000,325000,130000,118000,1952,237000,0.27,0.12,0.11,0.23,0.10,0.28,0.10,0.18,0.35,0.19,0.05,0.03,0.30,0.09,0.24,0.13,0.08,0.12,0.07,0.20,0.06,0.10,0.45,0.25,0.12,0.05,0.04,0.0007,0.09,544000,1.6,410000,55.8,1.0,6800,0.9,29,19,21,70
Frankston (C),113000,45000,2.5,381210,323559,3.4,2.9,8.4,7.1,107000,53000,31000,78000,29000,88000,48000,61000,218000,92000,8000,5000,59000,9000,1485000,934000,382000,520000,371000,1166000,343000,471000,2465000,1093000,234000,35000,53000,489,68000,0.30,0.15,0.09,0.22,0.08,0.24,0.13,0.17,0.56,0.23,0.02,0.01,0.15,0.02,0.26,0.16,0.07,0.09,0.07,0.21,0.06,0.08,0.62,0.28,0.06,0.01,0.01,0.0001,0.02,596000,2.0,361000,37.1,1.0,21653,2.2,30,17,20,64
